ticker,report_date,period_type,dividends_per_share,special_dividends_per_share,preferred_shares
BANEP,2011-12-31,ANNUAL,99.000000,,34622686
BANEP,2012-12-31,ANNUAL,24.000000,,34622686
BANEP,2013-12-31,ANNUAL,199.000000,,34622686
BANEP,2014-12-31,ANNUAL,211.000000,,29788357
BANEP,2015-12-31,ANNUAL,113.000000,,29788357
BANEP,2016-12-31,ANNUAL,164.000000,,29788357
BANEP,2017-12-31,ANNUAL,148.410000,,29788357
BANEP,2018-12-31,ANNUAL,158.950000,,29788357
BANEP,2019-12-31,ANNUAL,158.950000,,29788357
BANEP,2020-12-31,ANNUAL,107.810000,,29788357
BANEP,2021-12-31,ANNUAL,0.100000,,29788357
BANEP,2023-12-31,ANNUAL,199.890000,,29788357
BANEP,2024-12-31,ANNUAL,249.690000,,29788357
BANEP,2025-12-31,ANNUAL,147.310000,,29788357
KAZTP,2013-12-31,ANNUAL,2.000000,,
KZOSP,2019-12-31,ANNUAL,7.792000,,
NKNCP,2020-12-31,ANNUAL,9.070000,,
NKNCP,2024-12-31,ANNUAL,2.940000,,
TATNP,2010-12-31,ANNUAL,5.020000,,147508500
TATNP,2011-12-31,ANNUAL,7.080000,,147508500
TATNP,2012-12-31,ANNUAL,8.600000,,147508500
TATNP,2013-12-31,ANNUAL,8.230000,,147508500
TATNP,2014-12-31,ANNUAL,10.580000,,147508500
TATNP,2015-12-31,ANNUAL,10.960000,,147508500
TATNP,2016-12-31,ANNUAL,22.810000,,147508500
TATNP,2017-12-31,ANNUAL,39.940000,,147508500
TATNP,2018-12-31,ANNUAL,42.430000,,147508500
TATNP,2019-12-31,ANNUAL,119.110000,,147508500
TATNP,2020-12-31,ANNUAL,10.940000,,147508500
TATNP,2021-12-31,ANNUAL,28.820000,,147508500
TATNP,2022-12-31,ANNUAL,58.830000,,147508500
TATNP,2023-12-31,ANNUAL,89.820000,,147508500
TATNP,2024-12-31,ANNUAL,123.710000,,147508500
TATNP,2025-12-31,ANNUAL,60.500000,,147508500
